Response ID,Little Oven Pizza,JR Tacos,Sam Cafe,Taste of Little India,Jantz
R_3fVjGc5N08dY9GJ,,,,,
R_3hsvxgEU5EAC2qE,1,,,,
R_2Xap4XsBxRiJ2os,,,,1,
R_1pyt7ALaSlp1qvn,2,1,3,5,4
R_3oSDwnjuDPI48Vf,4,3,1,5,2
R_1gU9k3hCj4aGE4w,1,2,3,5,4
R_1gvIGFayFr7WwU2,2,4,3,5,1
R_3IT6dn7m5ALYC5d,1,3,2,5,4
R_28TlXPi4EugSKPO,5,3,4,2,1
R_2YmQN9VhpjRv8W9,4,2,3,1,5
R_Rgi6HjWaaqQPFst,3,2,1,5,4
R_2QSepnRT15ePzx3,1,,,,
R_1H6rlq3PnYXuTRm,2,3,1,5,4
R_3PzgknRnZp8DPJp,1,,,,
R_1cTzHtv8b6tLoui,2,1,3,4,5
R_1jexexdc05RcNs0,1,3,2,5,4
R_1H2jbpRWhGCdywN,1,3,4,5,2
R_8hKFdJt2nqaF6XT,2,,,1,
R_1N1TSu3Eplw1S7K,,1,,,
R_3Kp8SsecxSWTteF,,,,1,
R_3Rqr7Xgej2Sn43Z,1,3,2,5,4
R_2uD94RBy9LTzn0i,2,1,5,3,4
R_1pXwYOsYI26EaLM,4,5,3,2,1
R_Wqh2k6YLP2mtUWd,1,,,,
R_1QoLuVah6VLcDXY,1,2,4,5,3
R_3HvlADBzQb5qmPD,1,,,,
R_1Ffurmaa56dp31a,,1,,,2
R_3PGHnTmolE6C6ox,,,1,,
R_3Gk4fIKfcoXraOn,1,,,,
R_QbGzCnw3FdqGWBz,1,2,3,5,4
R_A6YJ6j6l7HWYIcV,2,1,5,3,4
R_3F3bZxg3yhwLv0p,1,2,3,4,5
R_27Do1SDeZXgiOth,2,1,3,4,5
R_12yC2GQug1p2fem,,1,,,
R_Z8hgOUSzwXuPKq5,3,5,1,4,2
R_1dLlTe4DrcDv8Gu,1,2,,3,
R_2Bi0Xwpb5Bed51r,2,1,3,,
R_3M0xQUpsP3RwjaO,1,,,,
R_Cmoztk5FB2UgFKF,1,2,3,4,5
R_3HFzpgUGCs16fSE,2,5,3,1,4
R_Ry4mkS4CoWzaRNv,1,3,2,5,4
R_28UQtjXLi8z9PIB,1,2,4,3,5
R_25NS9YPoNowyIHT,1,2,3,5,4
R_1BWtppdz3TIYnhy,1,5,2,4,3
R_2y8c1I95T65RmU6,1,,,,
R_3HT7ieqsRngKeQA,1,3,2,4,5
R_2pSjIri5OrC5GZi,1,2,4,3,5
R_2OZUXzcXuqfUCop,1,5,3,2,4
R_2tzZeHmgSWFNaO6,3,4,2,5,1
R_AtXiCGuc5h4ebT3,4,2,3,5,1
R_3DiIq1Y8AL3Ob6h,2,5,3,1,4
R_27DrQq0W04TTcgg,2,1,3,5,4
R_rfqeCRQCRNLMcﬀ,,,,1,
R_1OxZkPMGoSNfet0,1,3,4,5,2
R_shaqeJZpLazFhu1,1,2,3,5,4
R_DiO3qQRhsb3ukw1,4,1,2,5,3
R_2B4WNPGEUQPqsvr,2,3,4,5,1
R_2DMSArxbwTzmqu0,2,3,1,5,4
R_3OjEzTNccp4I6mZ,3,2,5,4,1
R_4VGqXwUP7wjS3Qd,1,3,,,2
R_2Vei887ONYKC401,,2,1,,
R_2Cqf6WtS5F3q9ba,3,1,2,5,4
R_2zevinWfp3JoBPj,,1,,,
R_1hZjxUKxcpk6zMv,4,1,2,3,5
R_3J33rwRIpjuLQ7q,4,3,1,5,2
R_2YCX8d9Y1mjDO4g,5,3,1,2,4
R_2zcNrXXwYTgJZaD,4,2,1,3,5
R_1P7WInHgcZg7he4,4,1,3,5,2
R_DTYF8OhAChQLaxz,5,2,1,3,4
R_ykgvn58LGCGlSut,4,1,2,3,5
R_2b4diOoD6njLdRb,1,2,4,5,3
R_81dTX5lLtvtRpoR,1,4,5,2,3
R_cwlDnIKOwZfDdpn,1,,,,
R_2U5yUb72XpXFEqq,3,5,1,2,4
R_3f62lEyGyD7TvUd,3,5,2,1,4
R_1hQ00up4wTKGwEt,1,3,5,4,2
R_RlEnRzGDFY7RI77,1,3,4,2,5
R_O1AL9VwvNQbvOvL,1,3,2,5,4
R_UYAJpSuE2pOfqFj,2,1,3,5,4
